pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_rad,st_mass,sy_dist
GJ 3293 b,Radial Velocity,2015,30.5987,0.14339,0.07406,3466,0.4,0.42,20.1903
GJ 3293 c,Radial Velocity,2015,122.6196,0.36175,0.06636,3466,0.4,0.42,20.1903
GJ 3293 d,Radial Velocity,2017,48.1345,0.19394,0.02391,3466,0.4,0.42,20.1903
GJ 3293 e,Radial Velocity,2017,13.2543,0.08208,0.01032,3466,0.4,0.42,20.1903
GJ 3323 b,Radial Velocity,2017,5.3636,0.03282,0.00636,3159,0.12,0.16,5.37484
GJ 3323 c,Radial Velocity,2017,40.54,0.1264,0.00727,3159,0.12,0.16,5.37484
GJ 3341 b,Radial Velocity,2015,14.207,0.089,0.0208,3526,0.44,0.47,23.619
GJ 338 B b,Radial Velocity,2020,24.45,0.141,0.03231,4005,0.58,0.64,6.33256
GJ 3470 b,Radial Velocity,2012,3.3366496,0.0355,0.04373,3600,0.55,0.54,29.4214
GJ 3473 b,Transit,2020,1.1980035,0.01589,0.00585,3347,0.36,0.36,27.3644
GJ 3473 c,Radial Velocity,2020,15.509,0.0876,0.02331,3347,0.36,0.36,27.3644
GJ 3512 b,Radial Velocity,2019,203.59,0.338,0.463,3081,0.14,0.12,9.48637
GJ 357 b,Transit,2019,3.93072,0.035,0.00579,3505,0.34,0.34,9.44181
GJ 357 c,Radial Velocity,2019,9.1247,0.061,0.0107,3505,0.34,0.34,9.44181
GJ 357 d,Radial Velocity,2019,55.661,0.204,0.01919,3505,0.34,0.34,9.44181
GJ 3634 b,Radial Velocity,2010,2.64561,0.0287,0.026,3517,0.43,0.45,20.3779
GJ 367 b,Transit,2021,0.321962,0.0071,0.00172,3522,0.46,0.45,9.41263
GJ 3779 b,Radial Velocity,2018,3.0232,0.026,0.02517,3324,0.28,0.27,13.743
GJ 393 b,Radial Velocity,2021,7.02679,0.05402,0.00538,3579,0.43,0.43,7.03149
GJ 3942 b,Radial Velocity,2017,6.905,0.0608,0.02246,3867,0.61,0.63,16.9287
GJ 3998 b,Radial Velocity,2016,2.64977,0.029,0.00777,3722,0.49,0.5,18.1459
GJ 3998 c,Radial Velocity,2016,13.74,0.089,0.0197,3722,0.49,0.5,18.1459
GJ 411 b,Radial Velocity,2019,12.946,0.0789,0.00846,3601,0.39,0.39,5.675773
GJ 414 A b,Radial Velocity,2021,50.8,0.2324,0.02391,4120,0.68,0.65,11.8893
GJ 414 A c,Radial Velocity,2021,749.83,1.4,0.16937,4120,0.68,0.65,11.8893
GJ 422 b,Radial Velocity,2014,20.129,0.111,0.03483,3323,0.37,0.35,12.6631
GJ 4276 b,Radial Velocity,2019,13.352,0.082,0.05213,3387,0.41,0.41,21.3362
GJ 433 b,Radial Velocity,2011,7.3705,0.062,0.01901,3461,0.5,0.48,9.06456
GJ 433 c,Radial Velocity,2014,5094.105,4.819,0.10201,3472,0.47,0.48,9.06456
GJ 433 d,Radial Velocity,2020,36.059,0.178,0.01643,3461,0.47,0.48,9.06456
GJ 436 b,Radial Velocity,2004,2.64388312,0.0291,0.07,3586.11,0.46,0.47,9.75321
GJ 480 b,Radial Velocity,2020,9.567,0.068,0.04153,3381,0.46,0.45,14.2358
GJ 486 b,Radial Velocity,2021,1.467119,0.01734,0.00887,3340,0.33,0.32,8.07426
